id,department_code,department_name,district_code,district_name,grievance_category,days_to_resolve,officer_response_count,escalation_level,lapse_type,lapse_type_id,confidence
442,WOMEN,"Women, Children, Disabled And Senior Citizens",PLN,Palnadu,anganwadi_service,24,3,Tahsildar,Wrong/Blank/Not related comments,3,0.89
443,REVENUE,Revenue (CCLA),KRS,Krishna,land_records,15,4,RDO,Wrong/Blank/Not related comments,3,0.92
444,REVENUE,Revenue (CCLA),KKN,Kakinada,tax_assessment,13,1,GRA,GRA did not speak to citizen directly,1,0.88
445,ENERGY,Energy,ANA,Anakapalli,meter_issue,14,1,GRA,Wrong/Blank/Not related comments,3,0.89
446,SOC_WELF,Social Welfare,NTR,NTR District,pension_not_received,70,13,Collector,Not visited site / No field verification,2,0.85
447,AGRI,Agriculture And Co-operation,KDP,Kadapa,crop_insurance,14,2,Mandal,Closed without required documents,4,0.86
448,PNCHRAJ,Panchayat Raj And Rural Development,KRS,Krishna,community_hall,18,1,Mandal,GRA did not speak to citizen directly,1,0.86
449,REVENUE,Revenue (CCLA),VSP,Visakhapatnam,revenue_certificate,8,1,Collector,GRA did not speak to citizen directly,1,0.85
450,REVENUE,Revenue (CCLA),KNR,Konaseema,property_dispute,27,3,HOD,GRA did not speak to citizen directly,1,0.89
451,REVENUE,Revenue (CCLA),KDP,Kadapa,land_records,1,1,GRA,GRA did not speak to citizen directly,1,0.93
452,AGRI,Agriculture And Co-operation,TPT,Tirupati,subsidy_delay,11,1,GRA,GRA did not speak to citizen directly,1,0.86
453,RNB,"Transport, Roads And Buildings",ANA,Anakapalli,contractor_issue,15,2,Tahsildar,Wrong/Blank/Not related comments,3,0.91
454,WATER,Water Resources,NAG,Sri Potti Sriramulu Nellore,water_shortage,1,1,GRA,Wrong/Blank/Not related comments,3,0.85
455,REVENUE,Revenue (CCLA),NLR,Nellore,land_mutation,6,1,Mandal,Wrong/Blank/Not related comments,3,0.87
456,HOUSING,Housing,NLR,Nellore,building_quality,10,1,Tahsildar,Wrong/Blank/Not related comments,3,0.92
457,SOC_WELF,Social Welfare,PLN,Palnadu,scholarship_issue,19,1,Mandal,GRA did not speak to citizen directly,1,0.91
458,REVENUE,Revenue (CCLA),ANA,Anakapalli,land_records,20,3,RDO,Premature closure,6,0.9
459,MUNI,Municipal Administration And Urban Development,SKM,Srikakulam,street_lights,64,20,HOD,No proper enquiry conducted,5,0.89
460,WATER,Water Resources,ARL,Alluri Sitharama Raju,bore_well,1,1,GRA,GRA did not speak to citizen directly,1,0.89
461,REVENUE,Revenue (CCLA),BAP,Bapatla,land_mutation,58,3,Collector,No proper enquiry conducted,5,0.91
462,AGRI,Agriculture And Co-operation,ARL,Alluri Sitharama Raju,fertilizer_issue,58,14,Collector,Not visited site / No field verification,2,0.88
463,PNCHRAJ,Panchayat Raj And Rural Development,KKN,Kakinada,drinking_water,6,1,GRA,Wrong/Blank/Not related comments,3,0.93
464,REVENUE,Revenue (CCLA),NLR,Nellore,revenue_certificate,61,18,CM,No proper enquiry conducted,5,0.86
465,HEALTH,"Health, Medical And Family Welfare",ANA,Anakapalli,medicine_shortage,11,1,GRA,Action not taken as per rules,7,0.91
466,REVENUE,Revenue (CCLA),SKM,Srikakulam,property_dispute,51,7,HOD,Not visited site / No field verification,2,0.94
467,WATER,Water Resources,ELR,Eluru,irrigation_canal,1,1,GRA,Action not taken as per rules,7,0.86
468,SOC_WELF,Social Welfare,ANM,Annamaya,pension_not_received,20,3,Collector,Not visited site / No field verification,2,0.94
469,REVENUE,Revenue (CCLA),ELR,Eluru,property_dispute,17,2,Tahsildar,Closed without required documents,4,0.9
470,SOC_WELF,Social Welfare,KKN,Kakinada,pension_delay,32,4,Tahsildar,GRA did not speak to citizen directly,1,0.86
471,MUNI,Municipal Administration And Urban Development,NAG,Sri Potti Sriramulu Nellore,road_repair,7,1,RDO,GRA did not speak to citizen directly,1,0.92
472,MUNI,Municipal Administration And Urban Development,CHT,Chittoor,drainage_issue,9,1,Tahsildar,GRA did not speak to citizen directly,1,0.86
473,PNCHRAJ,Panchayat Raj And Rural Development,NTR,NTR District,village_development,24,3,Collector,Not visited site / No field verification,2,0.89
474,SOC_WELF,Social Welfare,ELR,Eluru,scholarship_issue,19,1,Tahsildar,Wrong/Blank/Not related comments,3,0.93
475,MUNI,Municipal Administration And Urban Development,GNT,Guntur,street_lights,9,1,RDO,GRA did not speak to citizen directly,1,0.93
476,BC_WELF,Backward Classes Welfare,PLN,Palnadu,scholarship,24,3,Mandal,GRA did not speak to citizen directly,1,0.93
477,REVENUE,Revenue (CCLA),ARL,Alluri Sitharama Raju,land_mutation,7,1,Collector,Wrong/Blank/Not related comments,3,0.87
478,ENERGY,Energy,TPT,Tirupati,billing_dispute,19,2,Tahsildar,Wrong/Blank/Not related comments,3,0.95
479,LABOUR,"Labour, Factories, Boilers And Insurance Medical Services",NLR,Nellore,contractor_payment,11,1,RDO,GRA did not speak to citizen directly,1,0.94
480,SOC_WELF,Social Welfare,EG,East Godavari,disability_certificate,1,1,GRA,Closed without required documents,4,0.88
481,REVENUE,Revenue (CCLA),PLN,Palnadu,land_mutation,16,2,Tahsildar,GRA did not speak to citizen directly,1,0.88
482,REVENUE,Revenue (CCLA),NTR,NTR District,encroachment,20,2,Mandal,Premature closure,6,0.87
483,REVENUE,Revenue (CCLA),VSP,Visakhapatnam,tax_assessment,7,1,Mandal,Wrong/Blank/Not related comments,3,0.86
484,PNCHRAJ,Panchayat Raj And Rural Development,ANM,Annamaya,community_hall,1,1,GRA,Incorrect routing,10,0.89
485,MUNI,Municipal Administration And Urban Development,ANT,Anantapur,garbage_collection,13,1,Mandal,GRA did not speak to citizen directly,1,0.88
486,HOUSING,Housing,KKN,Kakinada,building_quality,1,1,Mandal,Wrong/Blank/Not related comments,3,0.85
487,AGRI,Agriculture And Co-operation,ARL,Alluri Sitharama Raju,subsidy_delay,23,2,Mandal,Inordinate delay,9,0.92
488,REVENUE,Revenue (CCLA),TPT,Tirupati,land_mutation,5,1,Tahsildar,GRA did not speak to citizen directly,1,0.89
489,ENERGY,Energy,ARL,Alluri Sitharama Raju,new_connection,16,2,RDO,GRA did not speak to citizen directly,1,0.86
490,REVENUE,Revenue (CCLA),STY,Sri Satya Sai,encroachment,35,5,RDO,Not visited site / No field verification,2,0.94
491,SOC_WELF,Social Welfare,KDP,Kadapa,pension_delay,28,1,Collector,Not visited site / No field verification,2,0.93
492,REVENUE,Revenue (CCLA),PLN,Palnadu,property_dispute,11,1,Tahsildar,GRA did not speak to citizen directly,1,0.91
493,MUNI,Municipal Administration And Urban Development,EG,East Godavari,garbage_collection,4,1,GRA,GRA did not speak to citizen directly,1,0.85
494,AGRI,Agriculture And Co-operation,BAP,Bapatla,crop_compensation,2,1,Mandal,Wrong/Blank/Not related comments,3,0.85
495,WATER,Water Resources,PKM,Prakasam,flood_control,13,1,GRA,GRA did not speak to citizen directly,1,0.88
496,RNB,"Transport, Roads And Buildings",SKM,Srikakulam,bus_service,16,2,Mandal,Premature closure,6,0.86
497,SOC_WELF,Social Welfare,TPT,Tirupati,welfare_scheme,7,1,RDO,GRA did not speak to citizen directly,1,0.91
498,HOUSING,Housing,GNT,Guntur,building_quality,48,10,Collector,Inordinate delay,9,0.91
499,MUNI,Municipal Administration And Urban Development,ANT,Anantapur,garbage_collection,11,1,GRA,GRA did not speak to citizen directly,1,0.89
500,AGRI,Agriculture And Co-operation,ANM,Annamaya,subsidy_delay,14,3,GRA,GRA did not speak to citizen directly,1,0.86
501,AGRI,Agriculture And Co-operation,ELR,Eluru,crop_compensation,35,5,Collector,Inadequate action taken,8,0.91
502,REVENUE,Revenue (CCLA),PLN,Palnadu,land_mutation,15,2,Tahsildar,GRA did not speak to citizen directly,1,0.86
503,AGRI,Agriculture And Co-operation,KDP,Kadapa,fertilizer_issue,17,1,Tahsildar,Wrong/Blank/Not related comments,3,0.88
504,AGRI,Agriculture And Co-operation,PVT,Parvathipuram Manyam,crop_insurance,1,1,GRA,GRA did not speak to citizen directly,1,0.87
505,REVENUE,Revenue (CCLA),TPT,Tirupati,property_dispute,7,1,Tahsildar,Wrong/Blank/Not related comments,3,0.92
506,HEALTH,"Health, Medical And Family Welfare",ARL,Alluri Sitharama Raju,medical_reimbursement,36,9,RDO,Not visited site / No field verification,2,0.91
507,REVENUE,Revenue (CCLA),KRS,Krishna,property_dispute,16,4,Collector,Action not taken as per rules,7,0.86
508,REVENUE,Revenue (CCLA),ANM,Annamaya,tax_assessment,4,1,GRA,GRA did not speak to citizen directly,1,0.91
509,MUNI,Municipal Administration And Urban Development,BAP,Bapatla,street_lights,16,3,Collector,Wrong/Blank/Not related comments,3,0.91
510,WATER,Water Resources,WG,West Godavari,tank_maintenance,18,2,Mandal,Wrong/Blank/Not related comments,3,0.92
511,WATER,Water Resources,TPT,Tirupati,flood_control,12,1,GRA,Closed without required documents,4,0.87
512,HOME,Home (Police),PLN,Palnadu,fir_delay,26,3,Mandal,No proper enquiry conducted,5,0.93
513,REVENUE,Revenue (CCLA),KRS,Krishna,revenue_certificate,7,1,Mandal,GRA did not speak to citizen directly,1,0.9
514,SOC_WELF,Social Welfare,VSP,Visakhapatnam,pension_not_received,6,1,GRA,No action letter issued,11,0.93
515,REVENUE,Revenue (CCLA),BAP,Bapatla,encroachment,7,1,GRA,GRA did not speak to citizen directly,1,0.9
516,SOC_WELF,Social Welfare,EG,East Godavari,welfare_scheme,15,2,RDO,GRA did not speak to citizen directly,1,0.85
517,HEALTH,"Health, Medical And Family Welfare",ARL,Alluri Sitharama Raju,medicine_shortage,5,1,GRA,GRA did not speak to citizen directly,1,0.87
518,SOC_WELF,Social Welfare,PVT,Parvathipuram Manyam,pension_not_received,5,1,RDO,Wrong/Blank/Not related comments,3,0.9
519,MUNI,Municipal Administration And Urban Development,KNR,Konaseema,street_lights,22,3,Mandal,GRA did not speak to citizen directly,1,0.86
520,MUNI,Municipal Administration And Urban Development,ELR,Eluru,drainage_issue,11,1,Mandal,GRA did not speak to citizen directly,1,0.91
521,MUNI,Municipal Administration And Urban Development,GNT,Guntur,building_permission,20,1,Mandal,Wrong/Blank/Not related comments,3,0.89
522,WOMEN,"Women, Children, Disabled And Senior Citizens",ANA,Anakapalli,child_welfare,8,1,Tahsildar,GRA did not speak to citizen directly,1,0.93
523,REVENUE,Revenue (CCLA),PLN,Palnadu,encroachment,10,1,Tahsildar,GRA did not speak to citizen directly,1,0.86
524,SOC_WELF,Social Welfare,WG,West Godavari,pension_not_received,1,1,GRA,GRA did not speak to citizen directly,1,0.91
525,REVENUE,Revenue (CCLA),KKN,Kakinada,encroachment,13,1,Tahsildar,GRA did not speak to citizen directly,1,0.94
526,MUNI,Municipal Administration And Urban Development,GNT,Guntur,building_permission,4,1,GRA,Wrong/Blank/Not related comments,3,0.92
527,SOC_WELF,Social Welfare,TPT,Tirupati,scholarship_issue,4,1,Tahsildar,Closed without required documents,4,0.93
528,MUNI,Municipal Administration And Urban Development,VZG,Vizianagaram,drainage_issue,13,1,GRA,GRA did not speak to citizen directly,1,0.88
529,HEALTH,"Health, Medical And Family Welfare",VZG,Vizianagaram,doctor_absence,8,1,Tahsildar,GRA did not speak to citizen directly,1,0.9
530,MUNI,Municipal Administration And Urban Development,SKM,Srikakulam,building_permission,14,1,GRA,GRA did not speak to citizen directly,1,0.87
531,AGRI,Agriculture And Co-operation,KRS,Krishna,fertilizer_issue,5,1,GRA,Inadequate action taken,8,0.95
532,SOC_WELF,Social Welfare,CHT,Chittoor,scholarship_issue,33,6,Collector,Not visited site / No field verification,2,0.88
533,REVENUE,Revenue (CCLA),PKM,Prakasam,tax_assessment,22,5,RDO,GRA did not speak to citizen directly,1,0.93
534,HOME,Home (Police),KDP,Kadapa,fir_delay,15,1,RDO,Wrong/Blank/Not related comments,3,0.92
535,PNCHRAJ,Panchayat Raj And Rural Development,NTR,NTR District,drinking_water,15,2,Mandal,Incorrect routing,10,0.9
536,MUNI,Municipal Administration And Urban Development,ANT,Anantapur,water_supply,4,1,Tahsildar,GRA did not speak to citizen directly,1,0.89
537,BC_WELF,Backward Classes Welfare,KKN,Kakinada,reservation_issue,14,2,RDO,GRA did not speak to citizen directly,1,0.93
538,AGRI,Agriculture And Co-operation,ARL,Alluri Sitharama Raju,crop_compensation,4,1,GRA,GRA did not speak to citizen directly,1,0.87
539,ENERGY,Energy,ANM,Annamaya,transformer_problem,3,1,GRA,Wrong/Blank/Not related comments,3,0.87
540,REVENUE,Revenue (CCLA),NTR,NTR District,land_mutation,13,1,Tahsildar,Poor quality of work,12,0.87
541,REVENUE,Revenue (CCLA),PVT,Parvathipuram Manyam,land_mutation,1,1,Mandal,Inadequate action taken,8,0.88
542,HOUSING,Housing,KRS,Krishna,housing_scheme,18,4,RDO,Wrong/Blank/Not related comments,3,0.85
543,REVENUE,Revenue (CCLA),ANM,Annamaya,land_mutation,26,5,HOD,Not visited site / No field verification,2,0.94
544,ENERGY,Energy,ELR,Eluru,billing_dispute,22,4,Collector,Wrong/Blank/Not related comments,3,0.87
545,REVENUE,Revenue (CCLA),STY,Sri Satya Sai,land_records,24,1,Tahsildar,Wrong/Blank/Not related comments,3,0.86
546,AGRI,Agriculture And Co-operation,EG,East Godavari,subsidy_delay,5,1,GRA,Premature closure,6,0.85
547,WATER,Water Resources,EG,East Godavari,bore_well,5,1,GRA,GRA did not speak to citizen directly,1,0.91
548,REVENUE,Revenue (CCLA),NLR,Nellore,revenue_certificate,7,1,GRA,GRA did not speak to citizen directly,1,0.9
549,REVENUE,Revenue (CCLA),NAG,Sri Potti Sriramulu Nellore,property_dispute,13,1,Collector,Premature closure,6,0.87
550,REVENUE,Revenue (CCLA),ANT,Anantapur,tax_assessment,11,1,GRA,Incorrect routing,10,0.93
551,SOC_WELF,Social Welfare,NLR,Nellore,scholarship_issue,19,2,RDO,Inadequate action taken,8,0.89
552,PNCHRAJ,Panchayat Raj And Rural Development,WG,West Godavari,village_roads,3,1,GRA,Not visited site / No field verification,2,0.9
553,SOC_WELF,Social Welfare,PLN,Palnadu,pension_delay,19,2,Mandal,GRA did not speak to citizen directly,1,0.85
554,REVENUE,Revenue (CCLA),ELR,Eluru,land_mutation,7,1,GRA,GRA did not speak to citizen directly,1,0.88
555,HOUSING,Housing,NLR,Nellore,construction_delay,4,1,Tahsildar,GRA did not speak to citizen directly,1,0.89
556,WATER,Water Resources,KRS,Krishna,tank_maintenance,19,2,Mandal,GRA did not speak to citizen directly,1,0.93
557,PNCHRAJ,Panchayat Raj And Rural Development,TPT,Tirupati,community_hall,53,11,HOD,Not visited site / No field verification,2,0.86
558,ENERGY,Energy,NTR,NTR District,new_connection,27,3,RDO,Wrong/Blank/Not related comments,3,0.9
559,REVENUE,Revenue (CCLA),ANA,Anakapalli,revenue_certificate,13,1,Mandal,GRA did not speak to citizen directly,1,0.87
560,REVENUE,Revenue (CCLA),KNR,Konaseema,land_mutation,35,8,RDO,Not visited site / No field verification,2,0.88
561,SOC_WELF,Social Welfare,PKM,Prakasam,welfare_scheme,1,1,Collector,GRA did not speak to citizen directly,1,0.89
562,AGRI,Agriculture And Co-operation,ANA,Anakapalli,irrigation_problem,32,8,Collector,Inordinate delay,9,0.95
563,WATER,Water Resources,KNR,Konaseema,bore_well,5,1,GRA,Wrong/Blank/Not related comments,3,0.86
564,REVENUE,Revenue (CCLA),NLR,Nellore,revenue_certificate,9,1,Mandal,Wrong/Blank/Not related comments,3,0.93
565,HOME,Home (Police),NAG,Sri Potti Sriramulu Nellore,police_harassment,7,1,GRA,Wrong/Blank/Not related comments,3,0.86
566,REVENUE,Revenue (CCLA),KRS,Krishna,tax_assessment,16,3,RDO,Wrong/Blank/Not related comments,3,0.9
567,REVENUE,Revenue (CCLA),SKM,Srikakulam,encroachment,17,5,CM,Closed without required documents,4,0.88
568,REVENUE,Revenue (CCLA),KNL,Kurnool,land_records,22,9,CM,Wrong/Blank/Not related comments,3,0.94
569,REVENUE,Revenue (CCLA),ANA,Anakapalli,land_records,5,1,Mandal,No action letter issued,11,0.9
570,MUNI,Municipal Administration And Urban Development,ARL,Alluri Sitharama Raju,building_permission,18,2,Collector,Wrong/Blank/Not related comments,3,0.91
571,REVENUE,Revenue (CCLA),PKM,Prakasam,land_records,52,6,RDO,Not visited site / No field verification,2,0.87
572,REVENUE,Revenue (CCLA),ANM,Annamaya,property_dispute,10,1,RDO,GRA did not speak to citizen directly,1,0.9
573,REVENUE,Revenue (CCLA),VZG,Vizianagaram,revenue_certificate,52,10,CM,Not visited site / No field verification,2,0.89
574,REVENUE,Revenue (CCLA),NAG,Sri Potti Sriramulu Nellore,tax_assessment,7,1,GRA,GRA did not speak to citizen directly,1,0.9
575,ENERGY,Energy,KKN,Kakinada,billing_dispute,11,1,Mandal,GRA did not speak to citizen directly,1,0.87
576,REVENUE,Revenue (CCLA),WG,West Godavari,revenue_certificate,3,1,GRA,GRA did not speak to citizen directly,1,0.87
577,REVENUE,Revenue (CCLA),VSP,Visakhapatnam,encroachment,18,2,RDO,GRA did not speak to citizen directly,1,0.87
578,REVENUE,Revenue (CCLA),ANA,Anakapalli,property_dispute,6,1,GRA,GRA did not speak to citizen directly,1,0.92
579,REVENUE,Revenue (CCLA),ANT,Anantapur,property_dispute,12,1,GRA,GRA did not speak to citizen directly,1,0.94
580,REVENUE,Revenue (CCLA),SKM,Srikakulam,land_mutation,12,1,Mandal,GRA did not speak to citizen directly,1,0.87
581,WOMEN,"Women, Children, Disabled And Senior Citizens",CHT,Chittoor,maternity_benefit,21,3,Mandal,Closed without required documents,4,0.9
582,AGRI,Agriculture And Co-operation,KNL,Kurnool,fertilizer_issue,10,1,Tahsildar,GRA did not speak to citizen directly,1,0.9
583,REVENUE,Revenue (CCLA),KNR,Konaseema,revenue_certificate,24,1,Tahsildar,GRA did not speak to citizen directly,1,0.91
584,REVENUE,Revenue (CCLA),NTR,NTR District,revenue_certificate,33,7,Collector,Not visited site / No field verification,2,0.93
585,SOC_WELF,Social Welfare,KKN,Kakinada,pension_delay,15,4,HOD,GRA did not speak to citizen directly,1,0.94
586,WOMEN,"Women, Children, Disabled And Senior Citizens",KNR,Konaseema,anganwadi_service,4,1,GRA,GRA did not speak to citizen directly,1,0.86
587,REVENUE,Revenue (CCLA),BAP,Bapatla,tax_assessment,14,2,Collector,Closed without required documents,4,0.89
588,REVENUE,Revenue (CCLA),VSP,Visakhapatnam,land_records,2,1,Mandal,Wrong/Blank/Not related comments,3,0.87
589,REVENUE,Revenue (CCLA),NAG,Sri Potti Sriramulu Nellore,land_records,20,1,Mandal,GRA did not speak to citizen directly,1,0.9
590,SOC_WELF,Social Welfare,KRS,Krishna,welfare_scheme,23,3,Mandal,GRA did not speak to citizen directly,1,0.94
591,MUNI,Municipal Administration And Urban Development,PKM,Prakasam,road_repair,9,1,Mandal,GRA did not speak to citizen directly,1,0.93
592,REVENUE,Revenue (CCLA),PLN,Palnadu,land_records,15,2,Tahsildar,Closed without required documents,4,0.86
593,MUNI,Municipal Administration And Urban Development,ANT,Anantapur,water_supply,72,20,Collector,No proper enquiry conducted,5,0.86
594,REVENUE,Revenue (CCLA),VSP,Visakhapatnam,encroachment,4,1,Mandal,Wrong/Blank/Not related comments,3,0.88
595,SOC_WELF,Social Welfare,KKN,Kakinada,pension_not_received,22,2,Mandal,GRA did not speak to citizen directly,1,0.9
596,AGRI,Agriculture And Co-operation,PKM,Prakasam,crop_insurance,23,3,Collector,Premature closure,6,0.86
597,MUNI,Municipal Administration And Urban Development,ANM,Annamaya,water_supply,13,1,GRA,Wrong/Blank/Not related comments,3,0.95
598,REVENUE,Revenue (CCLA),NAG,Sri Potti Sriramulu Nellore,property_dispute,54,18,HOD,Not visited site / No field verification,2,0.91
599,MUNI,Municipal Administration And Urban Development,NAG,Sri Potti Sriramulu Nellore,water_supply,1,1,Mandal,Wrong/Blank/Not related comments,3,0.92
600,HEALTH,"Health, Medical And Family Welfare",NTR,NTR District,medicine_shortage,1,1,GRA,Wrong/Blank/Not related comments,3,0.95
601,SOC_WELF,Social Welfare,PKM,Prakasam,disability_certificate,83,20,CM,Not visited site / No field verification,2,0.89
602,PNCHRAJ,Panchayat Raj And Rural Development,KKN,Kakinada,community_hall,52,20,HOD,Not visited site / No field verification,2,0.88
603,HOUSING,Housing,ARL,Alluri Sitharama Raju,allotment_issue,18,2,Mandal,GRA did not speak to citizen directly,1,0.9
604,WOMEN,"Women, Children, Disabled And Senior Citizens",KNL,Kurnool,anganwadi_service,14,3,GRA,GRA did not speak to citizen directly,1,0.93
605,HOME,Home (Police),KRS,Krishna,police_harassment,2,1,GRA,Wrong/Blank/Not related comments,3,0.85
606,SOC_WELF,Social Welfare,WG,West Godavari,disability_certificate,6,1,GRA,GRA did not speak to citizen directly,1,0.91
607,MUNI,Municipal Administration And Urban Development,CHT,Chittoor,building_permission,7,1,Mandal,GRA did not speak to citizen directly,1,0.93
608,AGRI,Agriculture And Co-operation,ELR,Eluru,crop_compensation,7,1,Tahsildar,Wrong/Blank/Not related comments,3,0.89
609,ENERGY,Energy,STY,Sri Satya Sai,billing_dispute,53,6,Tahsildar,Not visited site / No field verification,2,0.94
610,REVENUE,Revenue (CCLA),KNR,Konaseema,encroachment,26,3,Collector,Inordinate delay,9,0.88
611,MUNI,Municipal Administration And Urban Development,NLR,Nellore,road_repair,18,2,Tahsildar,Wrong/Blank/Not related comments,3,0.95
612,PNCHRAJ,Panchayat Raj And Rural Development,ELR,Eluru,village_development,1,1,GRA,GRA did not speak to citizen directly,1,0.86
613,REVENUE,Revenue (CCLA),ELR,Eluru,tax_assessment,9,1,RDO,GRA did not speak to citizen directly,1,0.92
614,PNCHRAJ,Panchayat Raj And Rural Development,ANA,Anakapalli,village_development,3,1,Mandal,GRA did not speak to citizen directly,1,0.91
615,PNCHRAJ,Panchayat Raj And Rural Development,EG,East Godavari,community_hall,13,1,Tahsildar,GRA did not speak to citizen directly,1,0.86
616,AGRI,Agriculture And Co-operation,VZG,Vizianagaram,fertilizer_issue,33,6,Tahsildar,Not visited site / No field verification,2,0.93
617,REVENUE,Revenue (CCLA),PKM,Prakasam,encroachment,54,6,RDO,No proper enquiry conducted,5,0.87
618,SOC_WELF,Social Welfare,STY,Sri Satya Sai,pension_not_received,30,7,RDO,GRA did not speak to citizen directly,1,0.85
619,AGRI,Agriculture And Co-operation,KDP,Kadapa,fertilizer_issue,17,3,RDO,Wrong/Blank/Not related comments,3,0.87
620,MUNI,Municipal Administration And Urban Development,STY,Sri Satya Sai,garbage_collection,1,1,Mandal,Not visited site / No field verification,2,0.92
621,REVENUE,Revenue (CCLA),ELR,Eluru,tax_assessment,44,16,CM,Not visited site / No field verification,2,0.86
622,AGRI,Agriculture And Co-operation,GNT,Guntur,crop_compensation,39,14,Collector,Not visited site / No field verification,2,0.89
623,REVENUE,Revenue (CCLA),KNL,Kurnool,tax_assessment,21,2,Tahsildar,GRA did not speak to citizen directly,1,0.9
624,MUNI,Municipal Administration And Urban Development,ANT,Anantapur,drainage_issue,22,4,Collector,GRA did not speak to citizen directly,1,0.85
625,REVENUE,Revenue (CCLA),ANM,Annamaya,revenue_certificate,8,1,Mandal,GRA did not speak to citizen directly,1,0.89
626,REVENUE,Revenue (CCLA),ANM,Annamaya,revenue_certificate,16,1,Mandal,No proper enquiry conducted,5,0.94
627,HOME,Home (Police),EG,East Godavari,fir_delay,36,11,HOD,Not visited site / No field verification,2,0.89
628,HOUSING,Housing,KKN,Kakinada,housing_scheme,4,1,GRA,Wrong/Blank/Not related comments,3,0.94
629,REVENUE,Revenue (CCLA),BAP,Bapatla,property_dispute,18,2,Mandal,GRA did not speak to citizen directly,1,0.88
630,PNCHRAJ,Panchayat Raj And Rural Development,ANM,Annamaya,community_hall,23,3,Collector,GRA did not speak to citizen directly,1,0.94
631,RNB,"Transport, Roads And Buildings",NLR,Nellore,road_pothole,15,1,Tahsildar,Wrong/Blank/Not related comments,3,0.93
632,REVENUE,Revenue (CCLA),GNT,Guntur,revenue_certificate,4,1,Mandal,Premature closure,6,0.94
633,REVENUE,Revenue (CCLA),STY,Sri Satya Sai,property_dispute,17,2,Tahsildar,GRA did not speak to citizen directly,1,0.91
634,MUNI,Municipal Administration And Urban Development,KKN,Kakinada,drainage_issue,15,3,Collector,GRA did not speak to citizen directly,1,0.9
635,MUNI,Municipal Administration And Urban Development,KKN,Kakinada,street_lights,1,1,GRA,Wrong/Blank/Not related comments,3,0.9
636,REVENUE,Revenue (CCLA),EG,East Godavari,land_mutation,29,3,Mandal,GRA did not speak to citizen directly,1,0.92
637,BC_WELF,Backward Classes Welfare,STY,Sri Satya Sai,hostel_admission,32,4,Collector,GRA did not speak to citizen directly,1,0.9
638,REVENUE,Revenue (CCLA),ARL,Alluri Sitharama Raju,property_dispute,13,1,RDO,GRA did not speak to citizen directly,1,0.88
639,MUNI,Municipal Administration And Urban Development,NAG,Sri Potti Sriramulu Nellore,road_repair,4,1,GRA,Not visited site / No field verification,2,0.9
640,SOC_WELF,Social Welfare,VSP,Visakhapatnam,pension_delay,19,3,RDO,Not visited site / No field verification,2,0.93
641,HOUSING,Housing,CHT,Chittoor,construction_delay,22,1,Tahsildar,Wrong/Blank/Not related comments,3,0.9
642,SOC_WELF,Social Welfare,KKN,Kakinada,pension_not_received,19,1,Mandal,Wrong/Blank/Not related comments,3,0.92
643,REVENUE,Revenue (CCLA),STY,Sri Satya Sai,encroachment,41,7,Collector,Inordinate delay,9,0.85
644,SOC_WELF,Social Welfare,PVT,Parvathipuram Manyam,pension_delay,17,3,Collector,Action not taken as per rules,7,0.93
645,PNCHRAJ,Panchayat Raj And Rural Development,KDP,Kadapa,village_roads,4,1,GRA,GRA did not speak to citizen directly,1,0.92
646,PNCHRAJ,Panchayat Raj And Rural Development,ANM,Annamaya,village_development,6,1,Tahsildar,Incorrect routing,10,0.87
647,REVENUE,Revenue (CCLA),PLN,Palnadu,property_dispute,20,4,Collector,GRA did not speak to citizen directly,1,0.92
648,HOUSING,Housing,KNL,Kurnool,housing_scheme,15,3,RDO,GRA did not speak to citizen directly,1,0.93
649,REVENUE,Revenue (CCLA),ANA,Anakapalli,land_records,86,20,CM,Not visited site / No field verification,2,0.9
650,SOC_WELF,Social Welfare,KKN,Kakinada,welfare_scheme,16,1,Mandal,GRA did not speak to citizen directly,1,0.85
651,REVENUE,Revenue (CCLA),KNR,Konaseema,revenue_certificate,19,1,Tahsildar,GRA did not speak to citizen directly,1,0.88
652,REVENUE,Revenue (CCLA),KDP,Kadapa,land_records,15,3,Collector,Poor quality of work,12,0.91
653,ENERGY,Energy,NTR,NTR District,new_connection,10,1,RDO,Closed without required documents,4,0.88
654,SOC_WELF,Social Welfare,SKM,Srikakulam,pension_not_received,13,1,GRA,Closed without required documents,4,0.92
655,REVENUE,Revenue (CCLA),ANM,Annamaya,land_records,35,7,CM,Not visited site / No field verification,2,0.9
656,AGRI,Agriculture And Co-operation,TPT,Tirupati,fertilizer_issue,15,2,RDO,Wrong/Blank/Not related comments,3,0.95
657,SOC_WELF,Social Welfare,WG,West Godavari,welfare_scheme,16,1,Mandal,Not visited site / No field verification,2,0.94
658,REVENUE,Revenue (CCLA),KNL,Kurnool,property_dispute,23,4,RDO,GRA did not speak to citizen directly,1,0.89
659,REVENUE,Revenue (CCLA),BAP,Bapatla,tax_assessment,4,1,Tahsildar,GRA did not speak to citizen directly,1,0.88
660,MUNI,Municipal Administration And Urban Development,STY,Sri Satya Sai,water_supply,7,1,Tahsildar,GRA did not speak to citizen directly,1,0.91
661,REVENUE,Revenue (CCLA),NTR,NTR District,property_dispute,5,1,GRA,GRA did not speak to citizen directly,1,0.91
662,SOC_WELF,Social Welfare,KNR,Konaseema,scholarship_issue,4,1,GRA,Inadequate action taken,8,0.94
